seed,func,d,min
76,Sphere,10,2.68E-07
2815,Sphere,10,2.44E-06
7933,Sphere,10,1.98E-06
15435,Sphere,10,2.44E-08
25313,Sphere,10,2.52E-07
37573,Sphere,10,1.56E-06
52211,Sphere,10,1.92E-08
69250,Sphere,10,8.42E-07
88866,Sphere,10,4.49E-08
111075,Sphere,10,4.76E-07
135748,Sphere,10,2.44E-08
162835,Sphere,10,6.13E-08
192338,Sphere,10,2.95E-06
224320,Sphere,10,6.85E-09
258698,Sphere,10,7.66E-07
295490,Sphere,10,3.72E-07
334663,Sphere,10,3.91E-07
376271,Sphere,10,0.00E+00
420279,Sphere,10,1.28E-06
466706,Sphere,10,1.27E-07
515583,Sphere,10,6.09E-09
566913,Sphere,10,2.65E-06
620838,Sphere,10,1.71E-07
677318,Sphere,10,4.52E-09
736263,Sphere,10,2.67E-08
797723,Sphere,10,3.93E-07
861591,Sphere,10,1.08E-06
927870,Sphere,10,1.54E-06
996556,Sphere,10,4.12E-08
1067642,Sphere,10,5.23E-07
76,Sphere,20,9.77E-08
2815,Sphere,20,4.13E-06
7933,Sphere,20,1.41E-05
15435,Sphere,20,1.06E-06
25313,Sphere,20,9.77E-06
37573,Sphere,20,1.98E-06
52211,Sphere,20,1.99E-06
69250,Sphere,20,9.26E-07
88866,Sphere,20,2.20E-07
111075,Sphere,20,2.20E-07
135748,Sphere,20,4.59E-06
162835,Sphere,20,8.89E-05
192338,Sphere,20,1.84E-06
224320,Sphere,20,1.98E-06
258698,Sphere,20,3.12E-07
295490,Sphere,20,1.75E-08
334663,Sphere,20,4.40E-08
376271,Sphere,20,2.59E-05
420279,Sphere,20,2.24E-06
466706,Sphere,20,4.82E-05
515583,Sphere,20,8.79E-07
566913,Sphere,20,1.30E-06
620838,Sphere,20,4.76E-06
677318,Sphere,20,6.10E-07
736263,Sphere,20,4.70E-06
797723,Sphere,20,5.06E-06
861591,Sphere,20,5.09E-06
927870,Sphere,20,1.92E-06
996556,Sphere,20,1.36E-05
1067642,Sphere,20,1.20E-06
76,Sum Squares,10,1.02E-06
2815,Sum Squares,10,9.31E-06
7933,Sum Squares,10,7.54E-06
